# WhoWatch（ふわっち）コメントログ
# live_id: 71988357
# 対象 user_path: ふ:ice_893
# 時刻はコメントの posted_at（ミリ秒）をローカルタイムゾーンに変換したものです。
# データ行はタブ区切り 1 行 1 コメント。列に含まれ得るタブ・改行は空白に置換しています。
posted_at_local	user_id	display_name	account_name	comment_type	message
2026-04-21 17:26:24.000	1004	ふわっち運営	ふ:ふわっち運営	BY_SYSTEM	コメントで配信を盛り上げましょう！ 不適切なコメントを確認した場合、アカウントを停止させていただく場合がございます。 マナーを守ってコメントしましょう
2026-04-21 17:26:06.000	65601275	🗼高層界たわまん@多聞天🗼	ふ:ice_893	BY_OWNER	でも今日も呑みます。
2026-04-21 17:26:06.000	65601275	🗼高層界たわまん@多聞天🗼	ふ:ice_893	BY_OWNER	配信を開始しました
2026-04-21 17:26:29.000	1525	匿名盛り上げ部長	ふ:匿名盛り上げ部長	BY_PLAYITEM	【メーター+1】召喚石の砂をプレゼントしました（あと275で配信者に召喚石をプレゼント）
2026-04-21 17:26:26.000	1525	匿名盛り上げ部長	ふ:匿名盛り上げ部長	BY_PLAYITEM	なにがあったの？w
2026-04-21 17:26:56.000	1120	たぬき2号	ふ:赤たぬき	BY_PUBLIC	飲んでたの？w昨日私寝てたから見てない笑笑
2026-04-21 17:26:55.000	1122	たぬき1号	ふ:紫たぬき	BY_PUBLIC	おつまんです
2026-04-21 17:27:10.000	1121	たぬき3号	ふ:青たぬき	BY_PUBLIC	どれ位飲んだの？
2026-04-21 17:27:18.000	1120	たぬき2号	ふ:赤たぬき	BY_PUBLIC	セクハラうけるw
2026-04-21 17:27:15.000	1122	たぬき4号	ふ:紫たぬき	BY_PUBLIC	やはり暴言かw
2026-04-21 17:27:33.000	1121	たぬき5号	ふ:青たぬき	BY_PUBLIC	小便の音聞かせてたからじゃね？
2026-04-21 17:27:33.000	1523	匿名盛り上げ係長	ふ:匿名盛り上げ係長	BY_PLAYITEM	エナジーチャージを3個プレゼントしました
2026-04-21 17:27:28.000	1122	たぬき4号	ふ:紫たぬき	BY_PUBLIC	通報多いから仕方がないね
2026-04-21 17:27:43.000	1121	たぬき7号	ふ:青たぬき	BY_PUBLIC	お酒は弱い方？
2026-04-21 17:27:40.000	1523	匿名盛り上げ係長	ふ:匿名盛り上げ係長	BY_PLAYITEM	【メーター+1】召喚石の砂をプレゼントしました（あと274で配信者に召喚石をプレゼント）
2026-04-21 17:27:35.000	1118	たぬき6号	ふ:緑たぬき	BY_PUBLIC	ヤバそうな会話流れてたよw
2026-04-21 17:27:50.000	1120	たぬき2号	ふ:赤たぬき	BY_PUBLIC	迎え酒しよう✌️
2026-04-21 17:27:58.000	1122	たぬき8号	ふ:紫たぬき	BY_PUBLIC	昨日コレコレから連絡あったでしょ
2026-04-21 17:28:14.000	1121	たぬき5号	ふ:青たぬき	BY_PUBLIC	ジョボジョボ…って小便してたぞ
2026-04-21 17:28:35.000	1122	たぬき1号	ふ:紫たぬき	BY_PUBLIC	🐪に_ぞって
2026-04-21 17:28:41.000	1118	たぬき6号	ふ:緑たぬき	BY_PUBLIC	カマよし通報したのかな
2026-04-21 17:28:53.000	1121	たぬき3号	ふ:青たぬき	BY_PUBLIC	お金は？
2026-04-21 17:28:51.000	1121	たぬき7号	ふ:青たぬき	BY_PUBLIC	スマホなくすって相当やんｗｗｗ
2026-04-21 17:29:04.000	1121	たぬき9号	ふ:青たぬき	BY_PUBLIC	テキーラ飲んだ？
2026-04-21 17:29:25.000	1121	たぬき7号	ふ:青たぬき	BY_PUBLIC	何時間くらい飲んだの？
2026-04-21 17:29:37.000	1121	たぬき9号	ふ:青たぬき	BY_PUBLIC	パトロン美味しい
2026-04-21 17:29:58.000	1121	たぬき9号	ふ:青たぬき	BY_PUBLIC	日本で輸入してないから高いんだよ　あれ個人輸入になっちゃう
2026-04-21 17:30:25.000	1120	たぬき10号	ふ:赤たぬき	BY_PUBLIC	都内で1番やばいグループ　ノブヨシに_まる予告してました
2026-04-21 17:30:28.000	1120	たぬき11号	ふ:赤たぬき	BY_PUBLIC	ハイボール一杯５０００円に震えました
2026-04-21 17:30:56.000	1121	たぬき3号	ふ:青たぬき	BY_PUBLIC	一本150円のチューハイ飲んでる
2026-04-21 17:31:14.000	1527	匿名盛り上げ会長	ふ:匿名盛り上げ会長	BY_PLAYITEM	【メーター+1】召喚石の砂をプレゼントしました（あと273で配信者に召喚石をプレゼント）
2026-04-21 17:31:10.000	1527	匿名盛り上げ会長	ふ:匿名盛り上げ会長	BY_PLAYITEM	おつまんです♡
2026-04-21 17:31:35.000	1523	匿名盛り上げ係長	ふ:匿名盛り上げ係長	BY_PLAYITEM	エナジーチャージを3個プレゼントしました
2026-04-21 17:31:33.000	1122	たぬき4号	ふ:紫たぬき	BY_PUBLIC	アーカイブ見たらいいですよw
2026-04-21 17:31:31.000	1524	匿名盛り上げ課長	ふ:匿名盛り上げ課長	BY_PLAYITEM	エナジーチャージを3個プレゼントしました
2026-04-21 17:31:31.000	1523	匿名盛り上げ係長	ふ:匿名盛り上げ係長	BY_PLAYITEM	【メーター+1】召喚石の砂をプレゼントしました（あと272で配信者に召喚石をプレゼント）
2026-04-21 17:31:41.000	1523	匿名盛り上げ係長	ふ:匿名盛り上げ係長	BY_PLAYITEM	【メーター+1】召喚石の砂をプレゼントしました（あと271で配信者に召喚石をプレゼント）
2026-04-21 17:31:38.000	1523	匿名盛り上げ係長	ふ:匿名盛り上げ係長	BY_PLAYITEM	エナジーチャージを3個プレゼントしました
2026-04-21 17:31:38.000	1314	プラチナたぬき12号	ふ:プラチナたぬき	BY_PUBLIC	(*´罒`*)ﾆﾋﾋ
2026-04-21 17:31:54.000	1524	匿名盛り上げ課長	ふ:匿名盛り上げ課長	BY_PLAYITEM	【メーター+1】召喚石の砂をプレゼントしました（あと270で配信者に召喚石をプレゼント）
2026-04-21 17:32:09.000	1122	たぬき4号	ふ:紫たぬき	BY_PUBLIC	警察に行きましょう
2026-04-21 17:32:23.000	1120	たぬき10号	ふ:赤たぬき	BY_PUBLIC	ささやきおばさんがYouTube上げてます
2026-04-21 17:32:18.000	1120	たぬき11号	ふ:赤たぬき	BY_PUBLIC	ロンシンがこれこれと通話　これこれにじじーとたたかれる
